Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","[ExplorerFrame.dll]","[comdlg32.dll]","1,381",0,3.30,0.00,
"Caller","[ExplorerFrame.dll]","[dui70.dll]","2,066",35,4.94,0.08,
"Caller","[ExplorerFrame.dll]","[duser.dll]",464,0,1.11,0.00,
"Caller","[ExplorerFrame.dll]","[ExplorerFrame.dll]","7,591",34,18.16,0.08,
"Caller","[ExplorerFrame.dll]","[KernelBase.dll]",1,1,0.00,0.00,
"Caller","[ExplorerFrame.dll]","[msftedit.dll]",2,0,0.00,0.00,
"Caller","[ExplorerFrame.dll]","[ntdll.dll]",714,1,1.71,0.00,
"Caller","[ExplorerFrame.dll]","[SHCore.dll]",768,1,1.84,0.00,
"Caller","[ExplorerFrame.dll]","[shell32.dll]",830,1,1.99,0.00,
"Caller","[ExplorerFrame.dll]","[shlwapi.dll]",354,0,0.85,0.00,
"Caller","[ExplorerFrame.dll]","[user32.dll]","3,078",4,7.36,0.01,
"Caller","[ExplorerFrame.dll]","[uxtheme.dll]",458,0,1.10,0.00,
"Callee","[ExplorerFrame.dll]","[combase.dll]",166,73,0.40,0.17,
"Callee","[ExplorerFrame.dll]","[comctl32.dll]","3,294",893,7.88,2.14,
"Callee","[ExplorerFrame.dll]","[comdlg32.dll]",164,0,0.39,0.00,
"Callee","[ExplorerFrame.dll]","[DropboxExt.26.0.dll]",2,2,0.00,0.00,
"Callee","[ExplorerFrame.dll]","[dui70.dll]","1,817",12,4.35,0.03,
"Callee","[ExplorerFrame.dll]","[duser.dll]",6,1,0.01,0.00,
"Callee","[ExplorerFrame.dll]","[ExplorerFrame.dll]","7,591",34,18.16,0.08,
"Callee","[ExplorerFrame.dll]","[gdi32.dll]",54,54,0.13,0.13,
"Callee","[ExplorerFrame.dll]","[kernel32.dll]",15,15,0.04,0.04,
"Callee","[ExplorerFrame.dll]","[KernelBase.dll]",68,61,0.16,0.15,
"Callee","[ExplorerFrame.dll]","[msftedit.dll]",163,0,0.39,0.00,
"Callee","[ExplorerFrame.dll]","[msftedit.dll]",2,0,0.00,0.00,
