Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"FoodMazaPos.ExportToExcel.LoadGridView1",6,0.01,0x09E6AB9E,57,13,57,59,
"FoodMazaPos.ExportToExcel.LoadGridView1",6,0.01,0x09E6ABD4,58,13,58,55,
"FoodMazaPos.ExportToExcel.LoadGridView1",6,0.01,0x09E6AC91,61,13,61,56,
"FoodMazaPos.InvoiceDetails.LoadGridView",6,0.01,0x0CD56119,42,13,42,55,
"FoodMazaPos.InvoiceDetails.LoadGridView",6,0.01,0x0CD561BB,45,13,45,54,
"FoodMazaPos.InvoiceDetails.LoadGridView",6,0.01,0x0CD562C9,50,13,50,55,
"FoodMazaPos.Login.btnLogin_Click",6,0.01,0x0CD5E3DA,51,21,51,33,
"FoodMazaPos.SalesSummary.InitializeComponent",6,0.01,0x09FD3823,362,13,362,52,
"FoodMazaPos.updatestocks.dgv_1",6,0.01,0x0CD5CBE9,62,13,62,97,
"[atlthunk.dll]",5,0.01,0x5F7718A6,0,0,0,0,
"[atlthunk.dll]",5,0.01,0x5F771B7F,0,0,0,0,
"[DropboxExt.26.0.dll]",5,0.01,0x5DCDFFB6,0,0,0,0,
"[ExplorerFrame.dll]",5,0.01,0x6035D1DD,0,0,0,0,
"[ExplorerFrame.dll]",5,0.01,0x60367341,0,0,0,0,
"[kernel32.dll]",5,0.01,0x7500C919,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E05013,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E12741,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E20933,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E20EC7,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E25462,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E305A7,0,0,0,0,
"[rpcrt4.dll]",5,0.01,0x761E6F22,0,0,0,0,
